3
2
1
0
7
6
5
4
9
8
D
E
F
G
A
B
C
L
M
N
O
H
I
J
K
U
T
W
V
Q
P
S
R
Y
X
Z
f
g
d
e
b
c
a
n
o
l
m
j
k
h
i
w
v
u
t
s
r
q
p
z
y
x
