id,day,time,friends,activity,feelings,emotion,class
1,FRI,NOON,0,WORK/HOUSEWORK,OPTIMISM,SURPRISE,0
1,FRI,NOON,0,PREPARING MEALS/EATING,OPTIMISM,SURPRISE,0
1,FRI,NOON,0,COMMUNITY MOBILITY,OPTIMISM,SURPRISE,0
1,FRI,NOON,0,PREPARING MEALS/EATING,OPTIMISM,SURPRISE,0
1,FRI,EVENING,0,WORK/HOUSEWORK,OPTIMISM,SURPRISE,0
1,FRI,EVENING,0,RELIGIOUS OBSERVANCES,OPTIMISM,SURPRISE,0
1,FRI,EVENING,0,WORK/HOUSEWORK,OPTIMISM,SURPRISE,0
